CODE,BULK LBR,BULK RATE,PRODUCT,WEIGHT,RSLR LBR,RESELLER RATE,CUST LBR,RETAIL RATE,RETAIL            T. PRICE,245,,BULK CODE,RSLR CODE,CUST CODE,
ANK08-12,110,355,Solitaire Charms - Ball Anklets,7.25,163,408,252,497,"3,603",,,RRX,RLA,OBO,
ANK08-13,110,355,Solitaire Charms - Ball Anklets,7.40,163,408,252,497,"3,678",,,RRX,RLA,OBO,
ANK08-14,110,355,Solitaire Charms - Ball Anklets,7.35,163,408,252,497,"3,653",,,RRX,RLA,OBO,
ANK08-15,110,355,Solitaire Charms - Ball Anklets,7.50,163,408,252,497,"3,728",,,RRX,RLA,OBO,
ANK08-16,110,355,Solitaire Charms - Ball Anklets,7.65,163,408,252,497,"3,802",,,RRX,RLA,OBO,
ANK08-17,110,355,Solitaire Charms - Ball Anklets,7.55,163,408,252,497,"3,752",,,RRX,RLA,OBO,
ANK08-18,110,355,Solitaire Charms - Ball Anklets,6.90,163,408,252,497,"3,429",,,RRX,RLA,OBO,
ANK08-19,110,355,Solitaire Charms - Ball Anklets,7.45,163,408,252,497,"3,703",,,RRX,RLA,OBO,
ANK09-01,-25,220,Cutting Pyrite Anklets,8.00,8,253,63,308,"2,464",,,-OB,N,LA,
ANK10-01,100,345,Infinity Glam CZ Anklets,7.25,152,397,238,483,"3,502",,,RXX,RBO,OAN,
ANK10-02,100,345,Infinity Glam CZ Anklets,5.85,152,397,238,483,"2,826",,,RXX,RBO,OAN,
ANK11-01,55,300,Rhodium Flat Anklets,12.30,100,345,175,420,"5,166",,,BB,RXX,RIB,
ANK12-01,90,335,Rhodium Tennis Anklets,13.20,140,385,224,469,"6,191",,,GX,RZX,OOZ,
ANK12-02,90,335,Rhodium Tennis Anklets,18.80,140,385,224,469,"8,817",,,GX,RZX,OOZ,
ANK13-01,175,420,Rose Gold CNC Crystal Anklets,6.65,238,483,343,588,"3,910",,,RIB,OAN,AZA,
ANK13-02,175,420,Rose Gold CNC Crystal Anklets,7.20,238,483,343,588,"4,234",,,RIB,OAN,AZA,
ANK13-03,175,420,Rose Gold CNC Crystal Anklets,5.45,238,483,343,588,"3,205",,,RIB,OAN,AZA,
ANK13-04,175,420,Rose Gold CNC Crystal Anklets,6.95,238,483,343,588,"4,087",,,RIB,OAN,AZA,
